SchoolName,SchoolYear,School List,FT Male,NONFT Male,Total Male,FT Female,NonFT Female,Total Female,FT Other,NonFT Other,Total Other,FT People of Color,NonFT People of Color,Total People of Color,Total FT,Total NonFT,Total,FullTimeLibrarians,PartTimeLibrarians,TotalLibrarians,FTMale,FTFemale,FTAGI,FTPNR,FTPOC,FTTotal,NONFTMale,NONFTFemale,NONFTAGI,NONFTPNR,NONFTPOC,NONFTTotal,MaleTotal,FemaleTotal,AGITotal,PNRTotal,POCTotal,TotalFaculties,FTLibrarians,PTLibrarians
,2022,MICHIGAN STATE UNIVERSITY,26.0,40.0,66.0,25.0,23.0,48.0,0.0,0.0,0.0,8.0,5.0,13.0,51.0,63.0,114.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,"MICHIGAN, UNIVERSITY OF",61.0,51.0,112.0,46.0,25.0,71.0,0.0,0.0,0.0,15.0,11.0,26.0,107.0,76.0,183.0,12.0,0.0,12,,,,,,,,,,,,,,,,,,,,
,2022,"MINNESOTA, UNIVERSITY OF",40.0,129.0,169.0,22.0,92.0,114.0,0.0,0.0,0.0,8.0,32.0,40.0,62.0,221.0,283.0,12.0,2.0,14,,,,,,,,,,,,,,,,,,,,
,2022,MISSISSIPPI COLLEGE,9.0,16.0,25.0,14.0,8.0,22.0,0.0,0.0,0.0,5.0,5.0,10.0,23.0,24.0,47.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,"MISSISSIPPI, UNIVERSITY OF",20.0,22.0,42.0,17.0,12.0,29.0,0.0,0.0,0.0,4.0,4.0,8.0,37.0,34.0,71.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,"MISSOURI, UNIVERSITY OF",19.0,9.0,28.0,10.0,8.0,18.0,0.0,0.0,0.0,4.0,3.0,7.0,29.0,17.0,46.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"MISSOURI-KANSAS CITY, UNIVERSITY OF",23.0,45.0,68.0,23.0,27.0,50.0,0.0,0.0,0.0,6.0,5.0,11.0,46.0,72.0,118.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,MITCHELL|HAMLINE,25.0,44.0,69.0,28.0,62.0,90.0,0.0,0.0,0.0,9.0,13.0,22.0,53.0,106.0,159.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"MONTANA, UNIVERSITY OF",8.0,9.0,17.0,7.0,8.0,15.0,0.0,0.0,0.0,2.0,2.0,4.0,15.0,17.0,32.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,
,2022,"NEBRASKA, UNIVERSITY OF",22.0,29.0,51.0,11.0,22.0,33.0,0.0,0.0,0.0,2.0,7.0,9.0,33.0,51.0,84.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,NEW ENGLAND LAW | BOSTON,18.0,69.0,87.0,17.0,51.0,68.0,0.0,0.0,0.0,8.0,11.0,19.0,35.0,120.0,155.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,NEW HAMPSHIRE UNIVERSITY OF,12.0,57.0,69.0,15.0,40.0,55.0,0.0,3.0,3.0,1.0,4.0,5.0,27.0,100.0,127.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"NEW MEXICO, UNIVERSITY OF",18.0,26.0,44.0,20.0,32.0,52.0,0.0,0.0,0.0,19.0,20.0,39.0,38.0,58.0,96.0,7.0,0.0,7,,,,,,,,,,,,,,,,,,,,
,2022,NEW YORK LAW SCHOOL,25.0,108.0,133.0,22.0,85.0,107.0,0.0,0.0,0.0,9.0,46.0,55.0,47.0,193.0,240.0,7.0,5.0,12,,,,,,,,,,,,,,,,,,,,
