SchoolName,SchoolYear,School List,JD1 Transfers Out,Transfer In,75th Percentile JD1 GPA,GPA50thPercentile,GPA25thPercentile,TransferIn,50th Percentile JD1 GPA,25th Percentile JD1 GPA
"New Mexico, The University of",2023,,2,,0.0,,,1.0,0.0,0.0
New York Law School,2023,,11,,0.0,,,1.0,0.0,0.0
New York University,2023,,1,,3.85,,,47.0,3.77,3.67
North Carolina Central University,2023,,4,,0.0,,,1.0,0.0,0.0
"North Carolina, University of",2023,,5,,0.0,,,3.0,0.0,0.0
"North Dakota, University of",2023,,0,,0.0,,,0.0,0.0,0.0
"North Texas at Dallas, University of",2023,,4,,0.0,,,7.0,3.07,0.0
Northeastern University,2023,,11,,0.0,,,5.0,0.0,0.0
Northern Illinois University,2023,,1,,0.0,,,0.0,0.0,0.0
Northern Kentucky University,2023,,0,,0.0,,,0.0,0.0,0.0
Northwestern University,2023,,3,,3.9,,,32.0,3.75,3.63
"Notre Dame, University of",2023,,0,,0.0,,,6.0,3.46,0.0
Nova Southeastern University,2023,,25,,0.0,,,0.0,0.0,0.0
Ohio Northern University,2023,,1,,0.0,,,0.0,0.0,0.0
Oklahoma City University,2023,,2,,0.0,,,5.0,0.0,0.0
"Oklahoma, University of",2023,,6,,0.0,,,0.0,0.0,0.0
"Oregon, University of",2023,,6,,0.0,,,0.0,0.0,0.0
Pace University,2023,,14,,0.0,,,3.0,0.0,0.0
"Pacific, University of the",2023,,3,,0.0,,,11.0,3.41,0.0
Penn State Dickinson Law,2023,,5,,0.0,,,3.0,0.0,0.0
Penn State University,2023,,13,,0.0,,,0.0,0.0,0.0
"Pennsylvania, University of",2023,,3,,0.0,,,6.0,3.79,0.0
Pepperdine University,2023,,7,,0.0,,,0.0,0.0,0.0
"Pittsburgh, University of",2023,,1,,0.0,,,2.0,0.0,0.0
Pontifical Catholic University of Puerto Rico,2023,,3,,0.0,,,0.0,0.0,0.0
"Puerto Rico, University of",2023,,0,,0.0,,,2.0,0.0,0.0
